IP address,Colo,Mean Respond Time,Mean Download Speed
104.17.180.0,SJC,631.7ms (warm-up),5139.2 KB/s
104.17.91.0,SJC,649.1ms (warm-up),5136.5 KB/s
104.18.172.0,SJC,613.2ms (warm-up),4974.9 KB/s
104.17.134.0,SJC,616.7ms (warm-up),4971.7 KB/s
104.16.122.0,LAX,617.0ms (warm-up),4968.9 KB/s
104.18.131.0,SJC,640.2ms (warm-up),4944.4 KB/s
104.19.146.0,SJC,653.6ms (warm-up),4930.7 KB/s
104.16.143.0,SJC,605.9ms (warm-up),4925.9 KB/s
104.17.146.0,SJC,637.0ms (warm-up),4908.2 KB/s
172.64.105.0,SJC,648.7ms (warm-up),4903.5 KB/s
104.18.178.0,SJC,657.5ms (warm-up),4877.7 KB/s
104.18.233.0,SJC,646.9ms (warm-up),4877.5 KB/s
104.18.12.0,SJC,637.2ms (warm-up),4877.2 KB/s
172.64.197.0,SJC,659.2ms (warm-up),4860.6 KB/s
104.16.56.0,SJC,627.5ms (warm-up),4857.2 KB/s
104.18.211.0,SJC,623.4ms (warm-up),4841.4 KB/s
104.16.175.0,SJC,630.5ms (warm-up),4814.5 KB/s
104.18.37.0,SJC,634.6ms (warm-up),4805.1 KB/s
104.17.143.0,SJC,637.4ms (warm-up),4796.7 KB/s
104.18.155.0,SJC,632.2ms (warm-up),4793.5 KB/s
104.19.175.0,SJC,630.5ms (warm-up),4776.5 KB/s
104.16.58.0,SJC,650.2ms (warm-up),4776.1 KB/s
172.64.101.0,SJC,631.5ms (warm-up),4772.4 KB/s
104.19.135.0,LAX,625.2ms (warm-up),4754.5 KB/s
